frame_000,frame_001,frame_002,frame_003,frame_004,frame_005,frame_006,frame_007,frame_008,frame_009,frame_010,frame_011,frame_012,frame_013,frame_014,frame_015,frame_016,frame_017,frame_018,frame_019,frame_020,frame_021,frame_022,frame_023,frame_024,frame_025,frame_026,frame_027,frame_028,frame_029,frame_030,frame_031,frame_032,frame_033,frame_034,frame_035,frame_036,frame_037,frame_038,frame_039,frame_040,frame_041,frame_042,frame_043,frame_044,frame_045,frame_046,frame_047,frame_048
41.86506,42.742973,44.004414,43.88838,43.54564,44.356796,50.32398,53.760456,49.83156,46.802628,42.256042,40.09787,42.558777,48.36566,48.583267,48.93808,51.09439,54.72752,50.051945,48.979233,38.99174,34.907116,25.129368,25.333914,26.99477,26.584461,31.745014,35.741493,42.963306,50.381798,57.990532,55.511486,50.079533,48.933212,42.730453,40.330715,42.517834,42.371803,41.568295,41.97588,38.39753,37.47339,36.230995,41.296547,39.57556,36.195488,25.187084,29.041607,33.444267
54.151768,49.642498,43.157593,39.604683,39.986664,43.320187,46.67318,45.322067,41.78194,48.29976,52.217937,53.080944,51.575024,47.601242,45.64774,45.695396,50.687862,52.380264,48.89537,50.71919,55.672867,50.538544,50.81384,43.556923,38.772133,35.656143,26.993328,25.430489,26.894432,25.466494,24.678265,31.289585,40.74565,47.92791,56.59095,55.904987,51.50094,49.067627,46.50965,42.053978,43.60155,43.528553,43.088913,44.064995,42.164413,38.345192,39.900593,44.485302,40.359276
53.629066,56.6163,54.477745,59.375977,58.441902,49.949425,45.38877,38.25138,41.777077,46.48001,46.006794,45.338455,42.578262,43.43955,43.855827,50.000694,47.540928,47.452,50.271397,52.257664,52.45027,51.130775,54.21997,58.4552,58.726997,56.059105,57.901344,53.11545,44.819885,43.26686,38.323555,26.291603,26.08496,27.789604,27.489548,34.0894,41.102207,44.998222,54.53195,59.729286,58.152596,53.63527,50.63515,45.332905,46.39368,43.999355,43.56224,43.56021,43.28286
66.943985,62.532158,59.827835,59.219772,55.990685,55.78292,56.37404,54.577156,56.513687,46.59192,43.63463,41.385365,40.362083,36.33995,32.453957,26.64436,27.57555,38.721245,47.75242,48.018616,46.917984,49.664116,52.479595,53.36001,59.33091,58.86936,60.90275,62.886303,64.23953,65.21997,59.298798,57.434113,49.095974,42.662674,37.29344,29.065054,26.933601,28.02729,25.988266,29.173727,37.862762,43.447266,49.663742,59.02776,63.0175,65.55906,58.549046,49.72075,48.24836
54.23443,56.371136,63.21275,68.438896,64.216255,63.127846,65.20295,59.66365,54.15203,52.885937,54.641617,56.536102,54.109978,40.774025,35.07315,36.236214,37.364136,31.952414,27.550407,27.910458,40.01767,51.19672,48.41211,48.981354,52.11511,51.705494,54.70156,58.770695,60.019623,59.727997,66.35039,63.413353,66.92274,64.67964,57.655956,57.40986,50.202034,40.184574,40.614433,31.144367,29.197117,27.10712,28.539648,30.89393,43.28556,49.204754,60.38897,72.2813,70.7511
30.608356,32.904488,38.270874,40.610172,49.18295,52.758354,58.184914,65.27414,63.024048,63.63198,61.328987,59.010597,57.628887,54.043995,52.169727,48.230164,42.83866,36.10569,36.88245,36.509354,30.832191,27.693113,25.20281,33.02229,38.07659,46.45144,50.29432,50.6404,53.145172,55.737705,54.21037,57.561775,59.798035,58.65669,62.99007,61.892715,67.82702,66.072945,60.976288,55.23507,51.67298,45.291298,41.434074,33.36729,28.244022,28.977081,30.957462,38.742134,51.124104
37.211433,33.04936,22.201351,20.876486,19.90729,22.86059,35.168877,38.213413,41.974846,50.72482,55.791607,65.129974,66.27138,64.46526,60.93701,54.554306,48.228363,51.157303,49.38287,41.76008,35.470314,37.315483,35.661438,33.556427,28.082829,25.461063,24.723278,24.14391,31.412779,36.433952,44.389305,52.264153,54.810413,55.235355,56.740993,58.314007,59.68168,56.480057,60.084682,61.98787,58.637394,65.16326,62.685787,53.197533,50.16462,41.77435,37.355755,28.128181,29.429844
49.09278,50.674553,52.199696,47.949287,36.61448,32.94976,24.899368,20.491846,18.550518,21.508358,34.87496,40.833466,45.64275,50.255947,53.72668,63.93736,62.560936,57.61786,54.246944,49.075645,52.45597,50.025337,45.61126,36.53101,35.007027,35.227375,35.969704,32.97113,28.46422,26.642452,25.340302,25.29697,31.197216,38.118362,48.988205,56.00582,54.846848,53.137,56.223442,54.925392,58.11075,58.137184,60.928368,60.52702,58.294468,57.785244,53.103172,52.8427,52.220894
37.241547,36.22245,31.838665,40.813534,48.650467,48.101334,50.83278,49.42827,39.234856,31.392109,21.693344,18.629976,18.525785,17.427235,26.838509,32.28813,44.91733,50.74527,63.78671,61.527927,58.45838,55.011024,49.727295,49.563015,52.86395,51.818943,50.715546,43.0526,37.13896,33.68108,32.2548,31.944447,29.75913,28.48769,27.533585,27.407307,31.19684,33.722023,41.24626,53.07386,51.760902,53.682728,53.80732,54.119717,56.323975,57.319252,55.25676,55.49996,55.4869
50.829247,49.378876,48.91852,45.572735,41.34579,35.786324,33.765156,33.85768,43.505543,48.793976,51.192,45.981453,36.79178,32.99384,22.116228,18.816385,17.384035,20.27424,30.958618,44.447662,52.21994,64.18056,61.440025,62.63559,57.948063,51.529125,50.353973,50.842552,50.765797,50.893593,50.145638,47.379185,36.587536,35.35806,35.69741,35.123528,34.423737,27.810581,27.180267,26.847637,24.50241,32.74395,37.005325,49.106407,50.010654,53.28056,47.73857,53.817184,54.918552
65.01554,60.89992,55.990784,51.385506,51.42038,50.494816,51.00843,48.431396,42.423454,37.21359,33.08909,38.786865,44.66673,48.858643,51.80581,49.27903,31.969812,21.338867,18.636698,15.703711,22.65,31.474285,43.239136,48.8575,59.668335,64.15135,66.67337,65.358055,65.191895,60.600792,56.670704,50.541542,51.818115,53.07808,52.19358,49.773712,39.798004,37.085983,37.907143,36.266495,36.285107,33.81714,29.040234,28.129162,26.904161,39.46193,50.0642,54.706806,51.737648
61.94057,64.30286,71.86104,69.42807,70.5143,66.17665,57.25,50.35653,49.852066,50.20555,50.870285,45.95137,40.553806,34.839752,27.892872,37.86247,49.38065,54.18995,49.073227,30.107922,19.344898,19.4108,17.376556,19.670465,21.34114,27.999731,31.496956,40.55179,50.189884,59.417095,66.09753,66.69471,67.310936,60.455887,52.926373,52.90039,53.172592,55.533142,52.8601,52.729404,46.578957,39.605408,37.579956,39.062805,37.862972,34.07602,29.681993,30.725698,41.52332
50.338554,53.015907,53.72905,61.44027,61.969177,63.50901,66.015495,70.54305,69.486595,65.44035,53.746456,48.347504,48.61724,45.711273,43.00966,35.59797,29.196247,27.844069,34.690514,47.164833,53.218513,48.925644,31.464289,26.974813,18.373158,18.742735,17.500107,17.147911,19.615814,20.837917,24.398083,34.711845,47.437283,60.885628,64.69575,66.54408,66.810074,59.515137,57.25929,51.043457,48.963585,53.72941,54.54232,53.1899,44.578575,39.125282,40.45278,40.93082,41.444176
47.797016,48.42395,51.886868,51.17803,52.07986,52.205513,53.62174,62.079365,63.01303,63.779903,66.17041,68.19099,70.35622,65.68446,52.430576,43.67937,42.52762,39.762993,31.076508,24.811625,24.867382,34.490383,45.15078,49.34325,51.82044,48.108974,40.045177,30.279764,26.43633,19.506584,20.018957,18.637068,18.931646,21.385403,28.183294,36.475998,45.55566,53.656044,64.2129,68.99817,66.75728,63.412506,57.464195,52.604656,47.946712,50.757324,51.326736,47.441505,43.238564
64.17891,65.45551,66.62961,60.208855,56.589836,53.30018,53.230904,51.553917,51.61493,52.008995,54.23815,62.61682,67.29653,63.592697,65.590546,71.17825,64.310776,51.74519,38.653557,39.485,38.538773,32.14034,25.349913,22.999897,20.480652,32.448425,41.71508,48.476486,49.2762,54.978065,48.318375,34.747826,29.034832,19.974407,20.174469,19.877243,18.45978,21.083584,23.647255,31.377644,44.690243,50.702682,60.41664,68.07453,65.84836,63.83847,57.17128,51.919907,52.799232
63.26213,63.761803,62.26729,63.01609,65.0272,66.64947,70.068634,67.19125,59.726906,53.56704,52.197445,52.34523,53.75657,54.41378,65.754425,70.12691,64.09089,69.60435,74.90066,68.11676,51.842213,38.682674,41.25287,38.589413,38.490284,28.930292,24.660446,23.848465,20.545673,21.639542,28.740345,45.380898,51.060493,56.135727,49.884953,36.992294,30.120075,20.761189,19.852016,18.881802,17.923805,19.758636,22.598698,30.355785,46.600952,53.58881,63.392815,65.41794,66.88349
70.01873,71.75501,67.25999,70.85494,67.12138,66.451126,66.05644,61.446587,65.23593,66.81914,67.24757,64.361115,59.925854,56.54069,50.334503,55.16333,66.69621,74.63654,70.37843,67.1333,72.0481,75.57317,71.600784,59.39109,43.36122,38.2698,39.587547,38.405674,36.16591,37.34568,30.666546,25.094381,22.838566,20.469055,34.01427,43.57926,50.16507,53.472286,51.63979,49.533417,31.320856,29.66675,19.089691,19.937737,18.496895,22.214994,28.844229,38.049873,47.107857
